qc_id,fid,text,icon_url
"0","1",ΑΡΑΒΙΑ,./0.png
"1","2",ΙΝΔΙΑ,./0.png
"2","3",ΙΝΔΟΚΙΝΑ,./0.png
"3","4",ΚΙΝΑ,./0.png
"4","5",ΘΙΒΕΤ,./0.png
